INFO:root:2021/05/09 12:36:57 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 42 0 2098 0 5065 -236
INFO:root:2021/05/09 12:36:58 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 41 0 95 0 5135 1696
INFO:root:2021/05/09 12:36:59 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 41 0 1703 0 5129 720
INFO:root:2021/05/09 12:37:00 {'data': {'isFault': True, 'isButton': False, 'battery': 'CHARGING_FROM_5V_IO', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 41 100 4177 0 5138 64
INFO:root:2021/05/09 12:37:01 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 41 0 1451 0 5120 720
INFO:root:2021/05/09 12:37:02 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 41 0 224 0 5133 -358
INFO:root:2021/05/09 12:37:03 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 41 0 168 0 5127 -420
INFO:root:2021/05/09 12:37:04 {'data': {'isFault': True, 'isButton': False, 'battery': 'CHARGING_FROM_5V_IO', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 25 84 4045 0 5128 -807
INFO:root:2021/05/09 12:37:05 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 41 0 2078 0 5129 64
INFO:root:2021/05/09 12:37:06 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 41 0 529 0 5130 560
INFO:root:2021/05/09 12:37:06 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 41 0 529 0 5130 560
INFO:root:Battery below threshold, shutting down pi.
INFO:root:2021/05/09 12:37:18 {'data': {'isFault': False, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'PRESENT', 'powerInput5vIo': 'NOT_PRESENT'}, 'error': 'NO_ERROR'} 41 0 117 0 5024 1401
INFO:root:2021/05/09 12:37:19 {'data': {'isFault': False, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'PRESENT', 'powerInput5vIo': 'NOT_PRESENT'}, 'error': 'NO_ERROR'} 41 0 94 0 5029 889
INFO:root:2021/05/09 12:37:20 {'data': {'isFault': False, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'PRESENT', 'powerInput5vIo': 'NOT_PRESENT'}, 'error': 'NO_ERROR'} 41 0 327 0 5031 753
INFO:root:2021/05/09 12:37:21 {'data': {'isFault': False, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'PRESENT', 'powerInput5vIo': 'NOT_PRESENT'}, 'error': 'NO_ERROR'} 41 0 1657 0 5031 753
INFO:root:2021/05/09 12:37:22 {'data': {'isFault': False, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'PRESENT', 'powerInput5vIo': 'NOT_PRESENT'}, 'error': 'NO_ERROR'} 41 0 1846 0 5029 753
INFO:root:2021/05/09 12:37:23 {'data': {'isFault': False, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'PRESENT', 'powerInput5vIo': 'NOT_PRESENT'}, 'error': 'NO_ERROR'} 41 0 1645 0 5029 889
INFO:root:2021/05/09 12:37:24 {'data': {'isFault': False, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'PRESENT', 'powerInput5vIo': 'NOT_PRESENT'}, 'error': 'NO_ERROR'} 41 0 1839 0 5029 820
INFO:root:2021/05/09 12:37:25 {'data': {'isFault': False, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'PRESENT', 'powerInput5vIo': 'NOT_PRESENT'}, 'error': 'NO_ERROR'} 41 0 2784 0 5032 820
INFO:root:2021/05/09 12:37:26 {'data': {'isFault': False, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'PRESENT', 'powerInput5vIo': 'NOT_PRESENT'}, 'error': 'NO_ERROR'} 41 0 94 0 4971 1043
INFO:root:2021/05/09 12:37:27 {'data': {'isFault': False, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'PRESENT', 'powerInput5vIo': 'NOT_PRESENT'}, 'error': 'NO_ERROR'} 41 0 95 0 5031 889
INFO:root:2021/05/09 12:37:27 {'data': {'isFault': False, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'PRESENT', 'powerInput5vIo': 'NOT_PRESENT'}, 'error': 'NO_ERROR'} 41 0 95 0 5031 889
INFO:root:Battery below threshold, shutting down pi.
INFO:root:2021/05/09 12:37:39 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 40 0 2467 0 5054 -2528
INFO:root:2021/05/09 12:37:40 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 40 0 771 0 5130 64
INFO:root:2021/05/09 12:37:41 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 40 0 1897 0 5136 -256
INFO:root:2021/05/09 12:37:42 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 40 0 1737 0 5125 -912
INFO:root:2021/05/09 12:37:43 {'data': {'isFault': True, 'isButton': False, 'battery': 'NOT_PRESENT', 'powerInput': 'NOT_PRESENT', 'powerInput5vIo': 'PRESENT'}, 'error': 'NO_ERROR'} 40 0 93 0 5112 -256
